nursery_site,species,genus_species,volume,climate_region,origin,leaf_type,calliper300.mean,rcd.mean,height_m.mean,sizeindex.mean,calliper300.se,rcd.se,height_m.se,sizeindex.se,MAT,MAP
A,callistemon_kingsparkspecial,callistemon_kingsparkspecial,27,South Australia,native,evergreen,17.89188889,22.70044444,1.497311111,27.00010967,0.434644412,0.38291617,0.025343455,0.937466348,15.39166667,698
A,ulmus_parvifolia_todd,ulmus_parvifolia,27,South Australia,non-native,deciduous,23.94988889,32.43688889,2.276044444,54.67248689,0.369958211,0.505881601,0.022448234,1.198580016,15.39166667,698
A,eucalyptus_leucoxylon_megalocarpa,eucalyptus_leucoxylon,18,South Australia,native,evergreen,16.32322222,20.54033333,1.657244444,27.30863867,0.363958288,0.44347783,0.038813894,0.967667156,15.39166667,698
A,angophora_costata,angophora_costata,27,South Australia,native,evergreen,17.91266667,24.30282222,1.3672,24.60214711,0.369882885,0.485783102,0.025813836,0.766041164,15.39166667,698
A,ginkgo_biloba,ginkgo_biloba,27,South Australia,non-native,deciduous,22.95766667,33.58211111,2.129222222,48.93221578,0.277079675,0.442410394,0.021799427,0.828318657,15.39166667,698
A,corymbia_maculata,corymbia_maculata,27,South Australia,native,evergreen,18.82611111,24.27122222,1.893022222,35.764043,0.277116643,0.345392441,0.022500561,0.808678134,15.39166667,698
A,eucalyptus_leucoxylon_eukydwarf,eucalyptus_leucoxylon,18,South Australia,native,evergreen,23.119,29.2375,1.78005,41.0549715,0.426713512,0.611341116,0.032265304,0.839825248,15.39166667,698
A,magnolia_grandiflora,magnolia_grandiflora,18,South Australia,non-native,evergreen,14.63470588,18.41470588,1.171117647,17.21175353,0.308517408,0.509139894,0.020771495,0.613733443,15.39166667,698
A,agonis_flexuosa,agonis_flexuosa,18,South Australia,native,evergreen,15.81642857,21.325,1.797,28.45203714,0.408014522,1.690821863,0.128664754,2.261230799,15.39166667,698
A,callistemon_kingsparkspecial,callistemon_kingsparkspecial,18,South Australia,native,evergreen,10.90077778,19.346,1.077977778,11.82298844,0.25875381,0.362564992,0.021782592,0.396919486,15.39166667,698
A,eucalyptus_leucoxylon_rosea,eucalyptus_leucoxylon,18,South Australia,native,evergreen,13.10026316,17.57052632,1.233526316,16.20255526,0.382409955,0.42394102,0.034617206,0.643586831,15.39166667,698
B,lagerstroemia_indica_natchez,lagerstroemia_indica,45,South Australia,non-native,deciduous,29.93088889,38.64533333,2.561955556,76.70001522,0.310817889,0.495490533,0.03816036,1.41167073,14.25833333,862
B,lagerstroemia_indica_zuni,lagerstroemia_indica,14,South Australia,non-native,deciduous,15.89292683,22.51670732,1.445097561,23.09447122,0.328840441,0.308791883,0.022177329,0.707649133,14.25833333,862
B,lagerstroemia_indica_tuscarora,lagerstroemia_indica,45,South Australia,non-native,deciduous,22.96725,30.179,2.1067,48.43361925,0.600449116,0.617567022,0.050743841,1.732458733,14.25833333,862
B,liquidambar_formosana,liquidambar_formosana,45,South Australia,non-native,deciduous,35.5525,51.52979167,3.19625,113.8377567,0.393359163,0.822103307,0.059233518,2.87023466,14.25833333,862
B,lagerstroemia_indica_sioux,lagerstroemia_indica,14,South Australia,non-native,deciduous,18.15633333,24.59744444,1.7198,31.26724122,0.2854381,0.312813424,0.026474089,0.728222767,14.25833333,862
C,eucalyptus_saligna,eucalyptus_saligna,400,New South Wales,native,evergreen,89.84875,103.1225,5.755,517.5538875,1.864271948,2.083589151,0.325403596,33.7260499,16.69166667,1175
C,acer_freemanii_autumnblaze,acer_freemanii,100,New South Wales,non-native,deciduous,42.12776316,49.13236842,3.172842105,134.0473836,0.486166555,0.530042161,0.046116396,3.065273509,16.69166667,1175
C,callistemon_kingsparkspecial,callistemon_kingsparkspecial,25,New South Wales,native,evergreen,20.20166667,27.02977778,1.822222222,36.98915833,0.423545282,0.354377458,0.031488556,1.149380185,16.69166667,1175
C,corymbia_maculata,corymbia_maculata,1000,New South Wales,native,evergreen,109.6363333,127.746,6.5702,722.1537273,2.109655099,2.862368159,0.159275568,26.4221556,16.69166667,1175
C,angophora_costata,angophora_costata,100,New South Wales,native,evergreen,33.17464286,47.06071429,3.143857143,104.6419664,1.04893843,1.350732286,0.048194188,4.282297044,16.69166667,1175
C,banksia_integrifolia,banksia_integrifolia,200,New South Wales,native,evergreen,75.82833333,99.53333333,3.683333333,279.941645,4.849582743,4.311257873,0.081245171,23.54462046,16.69166667,1175
C,fraxinus_griffithii,fraxinus_griffithii,100,New South Wales,non-native,evergreen,37.2425,50.434,2.6313,97.957832,0.958201513,1.106349804,0.05117444,3.066495462,16.69166667,1175
C,olea_europaea,olea_europaea,15,New South Wales,non-native,evergreen,17.44482759,23.42206897,1.967896552,34.51957345,0.464019935,0.567096383,0.03858534,1.327505454,16.69166667,1175
C,magnolia_grandiflora_littlegem,magnolia_grandiflora,200,New South Wales,non-native,evergreen,50.98,62.00444444,2.793166667,142.9770822,1.383624704,1.699041631,0.042397994,5.649664898,16.69166667,1175
C,eucalyptus_saligna,eucalyptus_saligna,100,New South Wales,native,evergreen,47.362,58.1955,4.40445,208.5180308,1.009322232,1.295857514,0.158265907,8.727367389,16.69166667,1175
C,jacaranda_mimosifolia,jacaranda_mimosifolia,100,New South Wales,non-native,deciduous,46.23657895,61.12921053,3.452315789,159.3096989,0.955666851,1.479419006,0.087780863,4.679837791,16.69166667,1175
C,banksia_integrifolia,banksia_integrifolia,15,New South Wales,native,evergreen,19.73388889,31.62777778,1.349333333,26.10342833,1.368364742,1.929510069,0.103796944,1.982709542,16.69166667,1175
C,olea_europaea,olea_europaea,35,New South Wales,non-native,evergreen,21.48083333,27.41833333,2.289722222,49.169215,0.459673842,0.352614187,0.044800123,1.379782663,16.69166667,1175
C,angophora_costata,angophora_costata,25,New South Wales,native,evergreen,12.19985714,20.30514286,1.147428571,14.16155,0.361962989,0.529628516,0.02323914,0.619303469,16.69166667,1175
C,lophostemon_confertus,lophostemon_confertus,100,New South Wales,native,evergreen,41.48433333,53.83633333,3.882866667,161.7977507,0.899731159,1.097925584,0.119662059,7.148816375,16.69166667,1175
C,banksia_integrifolia,banksia_integrifolia,400,New South Wales,native,evergreen,79.90266667,107.2536667,3.924866667,314.728995,2.114893832,2.346399748,0.076935586,12.99385545,16.69166667,1175
C,fraxinus_griffithii,fraxinus_griffithii,45,New South Wales,non-native,evergreen,28.01,39.008,2.2132,62.189616,0.9042331,0.989551161,0.175342636,5.753038161,16.69166667,1175
C,eucalyptus_saligna,eucalyptus_saligna,25,New South Wales,native,evergreen,14.50565789,20.94105263,1.371657895,19.98433237,0.231974116,0.237755639,0.023193824,0.54323401,16.69166667,1175
C,eucalyptus_saligna,eucalyptus_saligna,45,New South Wales,native,evergreen,37.95857143,51.71928571,3.216571429,121.8333846,0.976077937,1.301998132,0.055244185,3.004681386,16.69166667,1175
C,eucalyptus_saligna,eucalyptus_saligna,300,New South Wales,native,evergreen,76.765,92.343125,4.925875,379.1947881,1.960678864,2.258984233,0.134487976,18.25552106,16.69166667,1175
