volume,calliper300.mean,height_m.mean,species
18,10.90077778,1.077977778,callistemon_kingsparkspecial
27,17.89188889,1.497311111,callistemon_kingsparkspecial
18,16.32322222,1.657244444,eucalyptus_leucoxylon_megalocarpa
18,15.81642857,1.797,agonis_flexuosa
27,23.94988889,2.276044444,ulmus_parvifolia_todd
18,23.119,1.78005,eucalyptus_leucoxylon_eukydwarf
27,18.82611111,1.893022222,corymbia_maculata
18,13.10026316,1.233526316,eucalyptus_leucoxylon_rosea
27,17.91266667,1.3672,angophora_costata
27,22.95766667,2.129222222,ginkgo_biloba
18,14.63470588,1.171117647,magnolia_grandiflora
45,29.93088889,2.561955556,lagerstroemia_indica_natchez
14,15.89292683,1.445097561,lagerstroemia_indica_zuni
45,22.96725,2.1067,lagerstroemia_indica_tuscarora
45,35.5525,3.19625,liquidambar_formosana
14,18.15633333,1.7198,lagerstroemia_indica_sioux
100,42.12776316,3.172842105,acer_freemanii_autumnblaze
25,22.11277778,1.869666667,jacaranda_mimosifolia
600,96.482,4.844,angophora_costata
25,20.20166667,1.822222222,callistemon_kingsparkspecial
200,71.90166667,4.8325,corymbia_maculata
100,47.362,4.40445,eucalyptus_saligna
300,76.765,4.925875,eucalyptus_saligna
100,33.17464286,3.143857143,angophora_costata
400,89.84875,5.755,eucalyptus_saligna
300,50.98,2.793166667,magnolia_grandiflora_littlegem
100,46.23657895,3.452315789,jacaranda_mimosifolia
15,17.44482759,1.967896552,olea_europaea
400,68.9795,3.5062,ulmus_parvifolia
200,54.01833333,3.313833333,waterhousea_floribunda
400,79.90266667,3.924866667,banksia_integrifolia
25,12.10820513,1.168333333,fraxinus_griffithii
100,37.2425,2.6313,fraxinus_griffithii
25,14.50565789,1.371657895,eucalyptus_saligna
45,37.95857143,3.216571429,eucalyptus_saligna
25,10.72488889,1.168888889,eucalyptus_pilularis
75,48.91647059,2.363411765,brachychiton_acerifolius
25,12.19985714,1.147428571,angophora_costata
100,54.34026316,4.714894737,eucalyptus_pilularis
300,61.35125,3.68125,eucalyptus_pilularis
65,27.68947368,2.545736842,olea_europaea
45,34.565,2.280666667,banksia_integrifolia
200,57.14266667,3.5334,ulmus_parvifolia
200,75.82833333,3.683333333,banksia_integrifolia
800,74.142,3.8336,ulmus_parvifolia
75,33.602,2.33315,tristaniopsis_laurina_luscious
25,9.077894737,1.068157895,eucalyptus_sideroxylon_rosea
45,17.12272727,1.845,corymbia_maculata
1000,61.04470588,4.020176471,brachychiton_acerifolius
800,99.21833333,5.563133333,lophostemon_confertus
400,91.15444444,4.877444444,corymbia_maculata
35,21.48083333,2.289722222,olea_europaea
800,102.86875,5.826375,eucalyptus_saligna
45,26.87973684,1.791894737,magnolia_grandiflora_exmouth
100,30.60975,2.5034,olea_europaea
25,25.264,2.102,eucalyptus_sideroxylon
75,49.49363636,2.984363636,banksia_integrifolia
75,33.77928571,2.033285714,waterhousea_floribunda
45,43.69794118,2.138,brachychiton_acerifolius
45,37.93176471,2.561647059,araucaria_heterophylla
100,45.8205,3.44295,araucaria_heterophylla
200,100.4766667,3.821333333,brachychiton_acerifolius
1000,109.6363333,6.5702,corymbia_maculata
400,78.22833333,3.841333333,magnolia_grandiflora_exmouth
45,33.12222222,2.754666667,eucalyptus_pilularis
300,78.679375,4.47775,lophostemon_confertus
15,19.73388889,1.349333333,banksia_integrifolia
25,10.61753333,1.173666667,corymbia_maculata
45,28.01,2.2132,fraxinus_griffithii
1000,99.93194444,5.565944444,eucalyptus_saligna
100,41.48433333,3.882866667,lophostemon_confertus
400,49.66175,3.5522,lagerstroemia_indica_natchez
400,69.91113636,4.367,ulmus_parvifolia_todd
200,56.512,3.9444,lagerstroemia_indica_sioux
45,27.96133333,2.942933333,lophostemon_confertus
400,88.34,4.8025,jacaranda_mimosifolia
200,62.34,3.7972,pyrus_calleryana_chanticleer
100,33.28175,2.7437,banksia_integrifolia
45,25.3455,2.304877778,angophora_costata
75,35.3065,3.3806,banksia_integrifolia
75,29.22666667,1.841444444,magnolia_grandiflora_littlegem
200,36.02125,2.9724,lagerstroemia_indica_natchez
5,8.9885,0.72835,banksia_integrifolia
200,42.65125,4.00465,corymbia_maculata
100,27.7715,2.4341,eucalyptus_sideroxylon
200,58.44075,3.95545,ulmus_parvifolia_todd
45,20.715,2.048111111,banksia_integrifolia
75,36.444,2.67695,tristaniopsis_laurina_luscious
100,36.16125,4.058035714,corymbia_maculata
14,10.41577778,1.567711111,corymbia_citriodora
75,31.92875,3.57285,corymbia_maculata
14,10.18431818,1.125340909,angophora_costata
75,23.4755,2.42885,lagerstroemia_indica_sioux
14,17.2265,1.45285,magnolia_grandiflora_littlegem
100,35.290375,3.547625,angophora_costata
75,28.3655,2.51135,ulmus_parvifolia_todd
200,51.90125,3.97155,platanus_acerifolia
200,56.9995,4.228,angophora_costata
400,72.92,4.4146,pyrus_calleryana_chanticleer
400,55.45125,4.2153,platanus_acerifolia
100,44.62428571,2.514142857,magnolia_grandiflora_littlegem
100,39.6455,3.37235,jacaranda_mimosifolia
45,20.66888889,1.985466667,eucalyptus_sideroxylon
75,30.0195,2.9024,waterhousea_floribunda_greenavenue
14,11.67522222,1.373777778,corymbia_maculata
75,35.46325,2.85165,jacaranda_mimosifolia
45,33.10052632,1.631789474,olea_europaea_tolleysupright
200,59.01833333,2.492833333,olea_europaea_tolleysupright
35,22.84076923,1.412384615,waterhousea_floribunda
100,48.55975,2.94485,angophora_costata
45,21.92866667,2.059555556,ulmus_parvifolia
500,99.46625,4.1669,agonis_flexuosa
100,33.50725,2.0926,callistemon_kingsparkspecial
35,16.21660714,1.441785714,callistemon_kingsparkspecial
100,44.715,2.38425,pyrus_calleryana_chanticleer
100,38.5685,2.02665,olea_europaea_tolleysupright
35,16.95551724,1.27162069,jacaranda_mimosifolia
200,57.9225,3.049333333,lagerstroemia_indica_natchez
200,42.37425,2.4299,agonis_flexuosa
45,31.39277778,1.602666667,magnolia_grandiflora_littlegem
100,50.92884615,3.033615385,jacaranda_mimosifolia
