"ID","volume","species","origin","leaf_type","nursery","climate_region","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD","slenderness","longitude","latitude","MAT","MAP","treenumb","crown_length","branchper30","crown_spread","crown_ratio"
"adelaide advanced_AC_27",27,"angophora_costata","native","evergreen","adelaide advanced","South Australia",17.9126666666667,24.3028222222222,1.3672,24.6021471111111,1.38164990363369,1.43136376415899,0.13250087598367,1.24914902765002,1.3818151303848,0.0773353901898724,-35.064844,138.647758,15.3916666666667,698,5.5,116.65,9.2,104,0.00287434783852442
"adelaide advanced_AF_18",18,"agonis_flexuosa","native","evergreen","adelaide advanced","South Australia",15.8164285714286,21.325,1.797,28.4520371428571,1.44606599429204,1.25527250510331,0.247831176038948,1.1982348182531,1.32201037889982,0.113941316724067,-35.064844,138.647758,15.3916666666667,698,4,146.271428571429,8.57142857142857,97.7142857142857,0.00256922439203577
"adelaide advanced_ck_18",18,"callistemon_kingsparkspecial","native","evergreen","adelaide advanced","South Australia",10.9007777777778,19.346,1.07797777777778,11.8229884444444,1.06035431263675,1.25527250510331,0.0286223099388143,1.03173200269794,1.28296152018904,0.100809202896068,-35.064844,138.647758,15.3916666666667,698,5.5,107.22,5.9,87.6,0.00204873728916102
"adelaide advanced_ck_27",27,"callistemon_kingsparkspecial","native","evergreen","adelaide advanced","South Australia",17.8918888888889,22.7004444444444,1.49731111111111,27.0001096666667,1.41911971258121,1.43136376415899,0.172535189084504,1.24658452349671,1.35347980777096,0.0854383469711514,-35.064844,138.647758,15.3916666666667,698,5.5,138.32,14.6,96.2,0.00253432279365088
"adelaide advanced_CM_27",27,"corymbia_maculata","native","evergreen","adelaide advanced","South Australia",18.8261111111111,24.2712222222222,1.89302222222222,35.764043,1.54846697207893,1.43136376415899,0.275802108008427,1.2726648640705,1.38319927057032,0.101164023827298,-35.064844,138.647758,15.3916666666667,698,5.5,160,6.3,127.4,0.0042772783978625
"adelaide advanced_ELE_18",18,"eucalyptus_leucoxylon_eukydwarf","native","evergreen","adelaide advanced","South Australia",23.119,29.2375,1.78005,41.0549715,1.61161497888955,1.25527250510331,0.249055793013666,1.36255918587588,1.46414434623705,0.0776765025871701,-35.064844,138.647758,15.3916666666667,698,5.5,130.43,4,109.4,0.00323950562462668
"adelaide advanced_ELM_18",18,"eucalyptus_leucoxylon_megalocarpa","native","evergreen","adelaide advanced","South Australia",16.3232222222222,20.5403333333333,1.65724444444444,27.3086386666667,1.42080245925456,1.25527250510331,0.213136813884868,1.2076656453697,1.30806666198292,0.102794735519844,-35.064844,138.647758,15.3916666666667,698,5.5,113.5,6.4,117.6,0.00376320911998009
"adelaide advanced_ELR_18",18,"eucalyptus_leucoxylon_rosea","native","evergreen","adelaide advanced","South Australia",13.1002631578947,17.5705263157895,1.23352631578947,16.2025552631579,1.19528614400798,1.25527250510331,0.085129739268663,1.11015640473932,1.24010207572147,0.0970753619824684,-35.064844,138.647758,15.3916666666667,698,5.5,90.66,7.3,110.8,0.00333762803517379
"adelaide advanced_GB_27",27,"ginkgo_biloba","non-native","deciduous","adelaide advanced","South Australia",22.9576666666667,33.5821111111111,2.12922222222222,48.9322157777778,1.6867292690951,1.43136376415899,0.327233618652459,1.35949565044264,1.524474589271,0.0932525550318051,-35.064844,138.647758,15.3916666666667,698,5.5,147.39,7.1,101.4,0.00274501894095164
"adelaide advanced_MGL_18",18,"magnolia_grandiflora","non-native","evergreen","adelaide advanced","South Australia",14.6347058823529,18.4147058823529,1.17111764705882,17.2117535294118,1.23133830954669,1.25527250510331,0.0674862174202793,1.16385209212641,1.26259875226515,0.0802438679135633,-35.064844,138.647758,15.3916666666667,698,5.5,81.42,6.1,48.8,0.000638162187699207
"adelaide advanced_UMT_27",27,"ulmus_parvifolia_todd","non-native","deciduous","adelaide advanced","South Australia",23.9498888888889,32.4368888888889,2.27604444444444,54.6724868888889,1.73335274565535,1.43136376415899,0.356246281064233,1.37710646459112,1.50877923193588,0.0957143133901959,-35.064844,138.647758,15.3916666666667,698,5.5,200.2,10.4,99.4,0.0026398803068115
"adelaide tree farm_LF_45",45,"liquidambar_formosana","non-native","deciduous","adelaide tree farm","South Australia",35.5525,51.5297916666667,3.19625,113.837756666667,2.05312173984129,1.65321251377534,0.502882044994081,1.55023969484721,1.71075587746413,0.0900098750860988,-34.995084,138.766712,14.2583333333333,862,5.5,218.68,7.7,136,0.00534573405934839
"adelaide tree farm_LIN_45",45,"lagerstroemia_indica_natchez","non-native","deciduous","adelaide tree farm","South Australia",29.9308888888889,38.6453333333333,2.56195555555556,76.7000152222222,1.88157103097246,1.65321251377534,0.406440246973974,1.47513078399848,1.58544404120465,0.0859535069251042,-34.995084,138.766712,14.2583333333333,862,5.5,190.87,1.9,132.6,0.00505744057350397
"adelaide tree farm_LIT_45",45,"lagerstroemia_indica_tuscarora","non-native","deciduous","adelaide tree farm","South Australia",22.96725,30.179,2.1067,48.43361925,1.67953106489641,1.65321251377534,0.321204186349343,1.35832687854706,1.47796208688986,0.0927333372742615,-34.995084,138.766712,14.2583333333333,862,5.5,156.63,3,61.4,0.00107096893560876
"alpine_1158",100,"acer_freemanii_autumnblaze","non-native","deciduous","alpine","New South Wales",42.1277631578947,49.1323684210526,3.17284210526316,134.047383552632,2.12326604312108,2,0.499761307746528,1.62350473537456,1.69042673400607,0.0754766961762087,-33.659596,151.026671,16.6916666666667,1175,5.5,239.72,6.3,156.4,0.0067877250873461
"alpine_1948",200,"ulmus_parvifolia","non-native","deciduous","alpine","New South Wales",57.1426666666667,74.3576666666667,3.5334,202.917909,2.3014340008741,2.30102999566398,0.546671540381038,1.75476246049306,1.86883130147205,0.0621689244675297,-33.659596,151.026671,16.6916666666667,1175,5.5,256.05,7.9,236.6,0.015106767153807
